"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","16","5266","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","16","7","8","1","6.775274","0","8"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","16","5","5","1","2.743548","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","16","5","5","1","3.198374","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","16","18","20","1","17.934294","0","20"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","7","8","1","4.053086","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","7","7","1","5.433293","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","4","4","1","3.247499","0","4"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","16","27","29","1","22.363094","0","29"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","16","26","26","1","14.112811","0","26"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","16","67","67","1","41.561104","0","67"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","16","10","11","1","3.851752","0","11"
"/Water/Materials/WaterInfo/DrawWaterInfo.DrawWaterInfo","16","14","14","1","6.930171","0","14"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","16","12","14","1","8.766510","0","14"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","14","14","1","7.268667","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","16","5","5","1","1.271948","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","5","5","1","1.212738","0","5"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","5","5","1","1.255769","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","26","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","45","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","16","4","4","1","1.195635","0","0"
"/Game/Materials/Black.Black","16","23","0","1","0.000000","0","0"
"/Game/ShipInterior/black.black","16","23","23","1","4.772187","0","23"
"/Game/ShipInterior/glass.glass","16","23","23","1","0.000000","0","23"
"/Game/ShipInterior/blue.blue","16","23","23","1","0.000000","0","23"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","16","35","0","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","16","35","0","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","16","35","0","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","28","28","1","17.542320","0","28"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","7","7","1","3.699731","0","7"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","16","10","11","1","5.980524","0","11"
"/ControlRig/M_Manip.M_Manip","16","10","11","1","3.955942","0","11"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","44","50","2","33.451706","0","50"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","4","4","1","2.507636","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","5","5","1","2.100820","0","5"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","57","62","6","29.144064","0","62"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","16","7","7","1","2.760476","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","16","87","87","1","55.525810","0","87"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","127","127","1","82.025879","0","127"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","16","760","124","1","319.696564","121","1694"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","16","29","31","1","18.572577","0","31"
"/Game/Materials/grey.grey","16","23","23","1","12.203362","0","23"
"/Engine/MapTemplates/Materials/BasicAsset02.BasicAsset02","16","23","23","1","12.228773","0","23"
"/Game/Materials/WhiteEmissive.WhiteEmissive","16","23","23","1","12.238424","0","23"
"/Game/ShipInterior/Medbay/Red_Wire.Red_Wire","16","23","23","1","0.000000","0","23"
"/Engine/EngineMeshes/BackgroundMaterial.BackgroundMaterial","16","23","23","1","11.972918","0","23"
"/Game/ShipInterior/Medbay/Emission.Emission","16","23","23","1","0.000000","0","23"
"/Game/Models/Street_Assets.Street_Assets","16","26","26","1","53.829174","0","26"
"/Game/Secrets/Island/Material_003.Material_003","16","46","46","1","12.321510","0","46"
"/Game/Models/Sci-FiCity/Billboard.Billboard","16","14","14","1","0.000000","0","14"
"/Game/Player/Textures/MaleArmor_Green_BaseColor_Mat.MaleArmor_Green_BaseColor_Mat","16","54","58","1","33.761868","0","58"
"/Game/ShipInterior/Cockpit/SpacechairMesh_initialShadingGroup_Normal_Mat.SpacechairMesh_initialShadingGroup_Normal_Mat","16","23","23","1","13.667291","0","23"
"/Game/Dither/Materials/ColorGraphicsAdapter/PPM_ColorGraphicsAdapter.PPM_ColorGraphicsAdapter","16","5","5","1","1.967327","0","5"
"/Game/Materials/rendercrate-space-nebula-environment-2_prev_lg_Mat.rendercrate-space-nebula-environment-2_prev_lg_Mat","16","14","14","1","8.547391","0","14"
"/Game/Cutscenes/Coat_Mat.Coat_Mat","16","54","58","1","0.000000","0","58"
"/Game/Models/DebrisandRocks/TEX_LAVA_ROCK_2_Mat.TEX_LAVA_ROCK_2_Mat","16","23","23","1","12.290042","0","23"
"/Game/Models/DebrisandRocks/Lava_Rock_2_Mid_ResSG.Lava_Rock_2_Mid_ResSG","16","23","23","1","14.741401","0","23"
"/Game/Models/DebrisandRocks/TEX_LAVA_ROCK_3_Mat.TEX_LAVA_ROCK_3_Mat","16","14","14","1","0.000000","0","14"
"/Game/Models/DebrisandRocks/Lava_Rock_3_Mid_ResSG.Lava_Rock_3_Mid_ResSG","16","23","23","1","0.000000","0","23"
"/Game/Materials/Metal_Wall_Tiles.Metal_Wall_Tiles","16","40","42","1","23.177917","0","42"
"/Game/Materials/MetalGrunge.MetalGrunge","16","23","23","1","15.029983","0","23"
"/MediaPlate/M_MediaPlate.M_MediaPlate","16","8","9","1","4.259943","0","9"
"/Game/Materials/Metal_panels.Metal_panels","16","41","44","1","24.343195","0","44"
"/Game/Models/spaceship_textures/RenderCrate-Spaceship_ELYSIUM1.RenderCrate-Spaceship_ELYSIUM1","16","23","23","1","14.922623","0","23"
"/Game/Materials/Metalflooring.Metalflooring","16","39","40","1","22.102617","0","40"
"/Game/ShipInterior/Cockpit/SpacechairMesh_initialShadingGroup_Roughne_Mat.SpacechairMesh_initialShadingGroup_Roughne_Mat","16","14","14","1","0.000000","0","14"
"/Game/ShipInterior/Cockpit/SpacechairMesh_initialShadingGroup_Metalli_Mat.SpacechairMesh_initialShadingGroup_Metalli_Mat","16","14","14","1","0.000000","0","14"
"/Game/ShipInterior/Cockpit/spacechair_lowpoly_Ambient_Occlusion_Map_f_Mat.spacechair_lowpoly_Ambient_Occlusion_Map_f_Mat","16","14","14","1","0.000000","0","14"
"/Game/ShipInterior/Cockpit/SpacechairMesh_initialShadingGroup_BaseCol_Mat.SpacechairMesh_initialShadingGroup_BaseCol_Mat","16","14","14","1","0.000000","0","14"
"/Game/Foliage/tree_mushroom_BaseColor_Mat.tree_mushroom_BaseColor_Mat","16","46","46","1","15.368848","0","46"
"/Game/PCrate_IndustrialKit/Materials/M_Cable_Power_Twisted.M_Cable_Power_Twisted","16","26","27","1","17.623087","0","27"
"/Game/Player/Textures/MaleArmor_Green_Mat.MaleArmor_Green_Mat","16","26","26","1","14.372878","0","26"
"/Game/PCrate_IndustrialKit/Materials/M_Venting_System.M_Venting_System","16","26","27","1","0.000000","0","27"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","16","4","4","1","2.694132","0","4"
"/Game/PCrate_IndustrialKit/Materials/M_Buttons.M_Buttons","16","26","27","1","17.566698","0","27"
"/Game/TauriBC303_BaseColor_Mat.TauriBC303_BaseColor_Mat","16","23","23","1","0.000000","0","23"
"/Game/TauriBC303_Mat.TauriBC303_Mat","16","23","23","1","14.810492","0","23"
"/Game/TauriBC303_Metallic_Mat.TauriBC303_Metallic_Mat","16","14","14","1","0.000000","0","14"
"/Game/TauriBC303_Roughness_Mat.TauriBC303_Roughness_Mat","16","14","14","1","0.000000","0","14"
"/Game/PCrate_IndustrialKit/Materials/M_Pipes.M_Pipes","16","26","27","1","0.000000","0","27"
"/Game/PCrate_IndustrialKit/Materials/M_Platform_Railings.M_Platform_Railings","16","42","44","1","21.978859","0","44"
"/Game/Models/DebrisandRocks/Lava_Rock_4_Mid_ResSG.Lava_Rock_4_Mid_ResSG","16","14","14","1","0.000000","0","14"
"/Game/ShipInterior/Medbay/Op_Table.Op_Table","16","23","23","1","12.500965","0","23"
"/Game/Materials/Support.Support","16","26","27","1","15.708358","0","27"
"/Game/Models/Sci-FiCity/City.City","16","14","14","1","8.658003","0","14"
"/Game/Models/RenderCrate-Spaceship_ELYSIUM1.RenderCrate-Spaceship_ELYSIUM1","16","14","14","1","7.440526","0","14"
"/Game/UI/LoadingScreen/Screenshot_2024-11-24_124130_Mat.Screenshot_2024-11-24_124130_Mat","16","12","12","1","4.336017","0","12"
"/Game/Models/DebrisandRocks/Coral_5_SG.Coral_5_SG","16","14","14","1","0.000000","0","14"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","16","23","23","1","15.138743","0","23"
"/Game/Landscape/Grass_Mat.Grass_Mat","16","58","62","1","18.378962","0","62"
"/Game/Materials/Glass.Glass","16","29","29","1","16.434601","0","29"
"/Game/Materials/Glass1.Glass1","16","29","29","1","19.160713","0","29"
"/Game/UI/MainMenu/NewMediaPlayer_Video_Mat.NewMediaPlayer_Video_Mat","16","12","12","1","0.000000","0","12"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","16","12","12","1","6.656831","0","12"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","16","98","98","1","221.773071","0","98"
"/Landmass/Landscape/BlueprintBrushes/Materials/Sprite/M_BrushSprite_01.M_BrushSprite_01","16","17","19","1","11.836930","0","19"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","16","5","5","1","1.309831","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","16","5","5","1","1.203805","0","5"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","16","45","45","1","25.376951","0","45"
"/Water/Materials/WaterSurface/Water_Material.Water_Material","16","572","628","4","945.037354","0","628"
"/Game/Landscape/Landscaoe.Landscaoe","16","224","224","4","75.288490","0","224"
"/Interchange/gltf/M_Unlit.M_Unlit","16","118","128","6","56.850597","0","128"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","16","58","62","1","47.036949","0","62"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","16","84","88","1","63.758698","0","88"
"/Landmass/Landscape/BlueprintBrushes/Materials/Internal/BrushBounds.BrushBounds","16","5","5","1","3.350981","0","5"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","16","262","272","6","186.625504","0","272"
"/Interchange/gltf/M_Transmission.M_Transmission","16","96","96","2","251.548187","0","96"
"/Interchange/gltf/M_Sheen.M_Sheen","16","262","272","6","177.220917","0","272"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","16","262","272","6","169.735428","0","272"
"/Interchange/gltf/M_Default.M_Default","16","324","334","6","230.548874","0","334"
"/Water/Materials/PostProcessing/M_UnderWater_PostProcess_Volume.M_UnderWater_PostProcess_Volume","16","15","16","1","8.821494","0","16"
